,City,Latitude,Temperature (F),Humidity (%),Windspeed (mph),Cloudiness (%)
0,Morondava,-20.2833,75.7,77,8.39,0
1,Atuona,-9.8,79.48,75,17.74,63
2,Mar del Plata,-38.0023,64.17,45,10.36,0
3,Jamestown,42.097,62.13,29,9.22,20
4,Laguna,38.421,67.3,59,10.36,1
5,Coahuayana Viejo,18.7333,77.0,69,17.27,90
6,Khatanga,71.9667,17.94,96,3.85,100
7,Fort Nelson,58.8053,55.4,54,3.44,75
8,Busselton,-33.65,59.86,72,4.0,100
9,Non Sung,15.1801,86.0,100,4.79,67
10,Hobart,-42.8794,36.64,87,6.91,40
11,Mount Isa,-20.7333,60.8,25,10.36,0
12,Mataura,-46.1927,48.99,82,11.01,100
13,Kapaa,22.0752,75.38,73,17.27,1
14,Port Elizabeth,-33.918,60.8,82,4.61,0
15,Moses Lake,47.1301,77.25,22,3.44,1
16,Shatrovo,56.5167,67.82,46,8.34,17
17,Khāsh,28.2211,73.6,11,4.79,5
18,Maniitsoq,65.4167,37.27,75,10.65,100
19,Barrow,71.2906,19.4,86,5.75,90
20,Lagoa,39.05,64.42,89,25.52,100
21,Cape Town,-33.9258,64.47,77,9.22,75
22,Tasiilaq,65.6145,32.0,80,6.91,1
23,Nantucket,41.2835,65.26,28,8.05,1
24,Bredasdorp,-34.5322,60.8,72,4.61,0
25,Mahébourg,-20.4081,77.0,73,11.5,40
26,Butaritari,3.0707,82.02,78,17.36,100
27,Jutaí,-5.1833,82.36,82,2.89,50
28,Katsuura,35.1333,64.22,94,2.3,75
29,Hithadhoo,-0.6,80.08,83,10.49,100
30,Kununurra,-15.7667,57.2,72,4.61,3
31,Salisbury,51.0693,53.56,71,11.5,75
32,Waconia,44.8508,55.58,77,5.99,100
33,Provideniya,64.3833,42.93,61,14.85,65
34,Bengkulu,-3.8004,76.28,91,5.12,100
35,Rikitea,-23.1203,75.87,74,24.29,100
36,Songling,31.1933,75.13,94,4.47,0
37,Hilo,19.7297,69.58,78,6.91,90
38,Shetpe,44.1667,76.42,11,8.86,0
39,Kaitangata,-46.2817,47.71,74,16.33,100
40,Tautira,-17.7333,75.2,88,2.3,75
41,Sarangani,5.4033,83.01,73,12.24,100
42,Nokaneng,-19.6667,65.19,36,3.87,2
43,Lorengau,-2.0226,81.25,83,8.84,89
44,Qaanaaq,77.484,34.18,79,9.24,95
45,Port Hardy,50.6996,49.3,76,10.36,90
46,Airai,-8.9266,55.8,86,3.33,100
47,Upernavik,72.7868,34.11,83,2.57,100
48,Samarai,-10.6167,81.5,81,8.66,100
49,Usinsk,65.9939,48.97,72,15.5,97
50,Yeppoon,-23.1333,53.6,76,5.01,7
51,Yazd,31.8972,69.8,43,13.8,75
52,Nikolskoye,59.7035,62.6,55,6.71,0
53,Tingi,-11.3,58.24,76,3.38,16
54,Ushuaia,-54.8,48.2,76,7.27,0
55,Punta Arenas,-53.15,44.29,87,8.05,0
56,Nouadhibou,20.931,69.8,73,26.46,100
57,Bambous Virieux,-20.3428,76.51,73,11.5,40
58,Saldanha,-33.0117,60.8,77,6.91,100
59,Sūsangerd,31.5608,98.6,14,4.61,0
60,East London,-33.0153,75.2,38,6.91,0
61,San Patricio,28.017,83.89,58,10.36,40
62,Millbrook,32.4799,75.09,38,4.61,20
63,Nyurba,63.2842,42.21,57,5.19,19
64,Vernon,50.2581,66.27,42,2.3,6
65,Chicama,-7.8447,66.2,82,13.8,90
66,Aykhal,66.0,36.28,95,13.27,100
67,Madingou,-4.1536,76.73,89,1.7,100
68,Albany,42.6001,73.11,14,9.48,50
69,Vao,-22.6667,75.52,78,11.61,10
70,Tigre,-34.426,64.4,59,6.91,0
71,Baruun-Urt,46.6806,40.06,41,7.18,100
72,Trairi,-3.2778,74.08,97,3.36,100
73,Boissevain,49.2306,67.01,26,4.61,40
74,Bonfim,3.0833,82.4,78,13.8,75
75,Missoula,47.0166,69.21,24,3.44,1
76,Kaeo,-35.1,59.0,96,3.0,65
77,Mehamn,71.0357,35.6,75,5.75,75
78,Thompson,55.7435,30.2,86,11.5,90
79,Auki,-8.7676,77.31,87,3.36,12
80,Asău,46.4333,62.6,48,13.8,0
81,Castro,-24.7911,62.67,64,3.24,100
82,Bambanglipuro,-7.95,76.89,88,5.97,100
83,Nísia Floresta,-6.0911,77.0,94,6.91,90
84,Trud,42.2333,64.4,42,6.91,75
85,Comodoro Rivadavia,-45.8667,55.4,82,4.61,20
86,Gravdal,68.1214,48.2,66,10.36,0
87,Saint George,37.1041,89.28,11,4.74,6
88,Rome,43.2128,69.84,26,11.5,1
89,Yumen,40.2833,56.95,31,5.17,100
90,Clyde River,70.4692,26.6,86,9.22,90
91,Nipawin,53.3668,68.0,30,5.75,40
92,Songea,-10.6833,68.0,94,5.75,20
93,Ishigaki,24.3448,81.79,80,16.93,99
94,Naze,28.3667,71.4,94,6.78,86
95,Aksarka,66.5606,33.8,76,13.22,100
96,Ulaangom,49.9811,53.46,45,3.58,61
97,Chardara,41.2547,69.69,38,21.43,0
98,Mount Gambier,-37.8333,48.2,76,17.27,90
99,Chokurdakh,70.6333,10.13,96,5.93,78
100,Cayenne,4.9333,79.3,74,2.3,75
101,San Cristobal,7.7669,89.6,55,10.36,40
102,Purpe,64.4803,34.0,86,18.01,100
103,Kostomuksha,64.571,48.83,79,9.01,94
104,Myanaung,18.2833,84.49,61,1.81,50
105,Vaini,-21.2,69.8,94,3.44,75
106,Esperance,-33.8667,51.8,87,5.75,83
107,Da Lat,11.9465,61.09,97,1.68,93
108,Bantou,26.2151,74.59,88,2.53,61
109,Puerto Ayora,-0.7393,80.94,61,18.41,40
110,Muros,42.7762,59.86,78,14.43,100
111,Yellowknife,62.456,24.48,74,11.5,90
112,Gold Coast,-28.0,53.17,94,1.14,0
113,Narsaq,60.9167,50.0,20,12.66,40
114,Hermanus,-34.4187,62.01,84,5.01,27
115,Urdoma,61.7533,61.25,63,3.38,100
116,Taoudenni,22.6783,100.15,7,7.9,0
117,Fasa,28.9383,80.6,21,9.22,20
118,Lar,26.2039,87.49,40,4.16,2
119,Arraial do Cabo,-22.9661,75.2,60,2.3,0
120,Ostrovnoy,68.0531,31.59,89,17.78,100
121,Bandarbeyla,9.4942,86.05,70,24.0,100
122,Tuktoyaktuk,69.4541,28.4,80,12.66,75
123,Jingdezhen,29.2947,75.22,93,2.73,12
